src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
172.20.144.1,239.255.255.250,17,698,1741864135.079490,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741864135.165169,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1741864135.294533,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864136.208097,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864136.610639,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864136.924226,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1741864137.738294,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864138.049839,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864138.446233,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741864138.765955,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1741864148.424746,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,325,1741864152.422139,373,1625.965925,
172.20.154.248,185.125.190.58,17,90,1741864158.684368,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,112,1741864160.100808,373,1625.965925,
172.20.154.248,91.189.91.157,17,90,1741864168.957217,76,1614.262326,0.3
172.20.154.248,185.125.190.56,17,90,1741864179.178193,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,296,1741864183.181011,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741864198.050823,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741864200.436540,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741864200.613200,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741864200.839216,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741864201.064767,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741864202.012463,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741864202.147365,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741864202.332312,373,1625.965925,
172.20.144.1,224.0.0.251,17,393,1741864202.507899,373,1625.965925,
172.20.144.1,224.0.0.251,17,393,1741864203.520394,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741864204.076749,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1741864204.184812,373,1625.965925,
172.20.144.1,224.0.0.251,17,184,1741864204.703589,373,1625.965925,
172.20.144.1,224.0.0.251,17,184,1741864204.703589,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1741864204.948926,373,1625.965925,
172.20.144.1,224.0.0.251,17,184,1741864204.948927,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1741864205.186171,373,1625.965925,
